Asilabilir_Engel_Seviyesi,Haritalandirma,Hazne_Kapasitesi,Uygulama_Uzerinden_Kontrol,Yer_Silme_Ozelligi,Sarjli_Kullanim_Suresi,Fiyat,marka
4.0,3,0,0,1,3,17799.0,55
2.0,3,3,0,0,1,21769.0,123
2.0,2,3,0,0,1,15000.0,56
2.0,2,3,0,0,1,15999.0,23
1.0,4,0,1,1,2,2100.0,102
2.0,4,3,0,0,1,8250.0,11
2.0,2,3,0,0,1,19999.0,55
4.0,3,0,0,0,1,20849.0,86
2.0,2,3,0,0,1,12999.0,123
2.0,3,3,0,0,1,305606.0,79
2.0,3,3,0,0,1,10699.0,128
3.0,1,0,0,0,1,11100.0,123
2.0,1,0,0,0,2,23299.0,6
2.0,2,0,0,0,1,1999.0,42
2.0,4,3,0,0,2,6299.0,126
2.0,3,4,0,0,1,17499.0,23
2.0,3,3,0,0,1,33023.0,79
2.0,3,3,0,0,3,5484.0,75
2.0,3,3,0,0,3,14899.0,123
2.0,1,4,0,0,1,11149.0,123
2.0,3,3,0,0,1,14000.0,56
1.0,3,4,0,1,3,9987.0,33
2.0,3,3,0,1,1,10999.0,110
1.0,3,0,1,0,2,19799.0,56
2.0,3,2,0,0,1,17499.0,11
2.0,2,3,0,0,1,115441.0,48
2.0,0,3,0,0,1,14449.0,126
2.0,4,4,0,1,3,11999.0,55
2.0,3,3,0,0,1,12999.0,64
2.0,3,3,0,0,1,188889.0,79
2.0,3,0,0,0,1,13599.0,123
2.0,2,3,0,0,1,6999.0,61
2.0,0,3,0,1,1,9599.0,109
1.0,3,0,0,0,1,5964.0,98
4.0,4,0,0,0,3,13979.0,57
2.0,3,0,0,0,1,12950.0,30
1.0,3,0,0,1,3,19000.0,57
2.0,3,0,0,0,1,13799.0,33
2.0,3,3,0,0,1,8250.0,11
2.0,2,0,0,0,1,1999.0,42
3.0,4,0,1,1,1,7890.0,18
4.0,0,4,0,0,3,14799.0,57
1.0,3,3,0,0,3,18999.0,126
2.0,3,0,0,0,1,15999.0,79
2.0,2,3,0,0,1,10599.0,8
2.0,3,0,0,0,1,14799.0,11
2.0,3,3,0,0,1,12750.0,119
3.0,3,3,0,0,1,345489.0,79
2.0,3,4,0,1,1,7800.0,112
2.0,3,0,0,0,1,151441.0,79
2.0,3,2,0,0,1,20000.0,79
2.0,1,0,0,0,2,23299.0,6
2.0,2,3,0,0,1,16998.0,67
2.0,2,3,0,0,1,8490.0,30
2.0,3,3,0,0,1,8250.0,11
2.0,3,3,0,0,1,999.0,50
2.0,3,3,0,0,1,13299.0,11
2.0,0,4,0,1,1,4359.0,82
3.0,3,3,0,0,1,47589.0,79
2.0,2,3,0,0,1,9499.0,64
2.0,3,0,0,0,1,11399.0,11
2.0,2,3,0,0,1,5499.0,51
2.0,3,3,0,0,1,156241.0,79
2.0,3,3,0,0,1,16799.0,123
2.0,3,0,0,0,1,28919.0,86
3.0,0,0,0,0,2,34999.0,79
1.0,4,0,1,1,3,1955.0,124
2.0,3,3,0,0,1,445441.0,79
2.0,2,3,0,0,1,6774.0,12
2.0,3,3,0,0,1,29899.0,79
2.0,3,3,0,0,3,21799.0,79
2.0,0,3,0,0,1,83441.0,40
2.0,1,3,0,0,3,10999.0,123
2.0,2,3,0,0,1,7899.0,103
