AÅŸÄ±labilir Engel Seviyesi,Aşılabilir Engel Seviyesi,Garanti SÃ¼resi,Garanti Süresi,Garanti Tipi,GÃ¼Ã§ (Watt),Güç (Watt),HaritalandÄ±rma,Haritalandırma,Hazne Kapasitesi,Ses Seviyesi,Uygulama Ãœzerinden Kontrol,Uygulama Üzerinden Kontrol,Yer Silme Ã–zelliÄŸi,Yer Silme Özelliği,Ã–zellik,Ã‡alÄ±ÅŸma Modu SayÄ±sÄ±,ÅžarjlÄ± KullanÄ±m SÃ¼resi,Çalışma Modu Sayısı,Özellik,Şarjlı Kullanım Süresi,url,price
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),250-500 L,31 Dba - 40 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//hobot/legee-d8-robot-supurge-paspas-p-738442890?boutiqueId=61&merchantId=167560,"21.999,99 TL"
,,,1 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,,,5 Dba - 10 Dba,,,,,,,,,Toz Torbalı,,https://www.trendyol.com//arcelik/arac-kiti-p-101219436?boutiqueId=61&merchantId=667835,159 TL
,3 cm,,2 Yıl,İthalatçı Garantili,,2001 Watt ve Üzeri,,Jiroskop (SLAM /ESLAM),0-250 L,51 Dba - 60 Dba,,Var,,Var,,,,3+,Robot,30 - 60 dk,https://www.trendyol.com//philips/homerun-3000-serisi-aqua-robot-supurge-beyaz-p-778025596?boutiqueId=61&merchantId=409995,21.999 TL
,3 cm,,2 Yıl,İthalatçı Garantili,,2001 Watt ve Üzeri,,Jiroskop (SLAM /ESLAM),0-250 L,51 Dba - 60 Dba,,Var,,Var,,,,3+,Robot,30 - 60 dk,https://www.trendyol.com//philips/homerun-3000-serisi-aqua-robot-supurge-beyaz-p-778025488?boutiqueId=61&merchantId=409995,21.999 TL
,3 cm,,2 Yıl,İthalatçı Garantili,,2001 Watt ve Üzeri,,Jiroskop (SLAM /ESLAM),0-250 L,51 Dba - 60 Dba,,Var,,Var,,,,3+,Robot,30 - 60 dk,https://www.trendyol.com//philips/homerun-3000-serisi-aqua-robot-supurge-siyah-p-778021275?boutiqueId=61&merchantId=409995,21.999 TL
,3 cm,,2 Yıl,İthalatçı Garantili,,2001 Watt ve Üzeri,,Jiroskop (SLAM /ESLAM),0-250 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,30 - 60 dk,https://www.trendyol.com//philips/homerun-7000-serisi-aqua-robot-supurge-siyah-65-db-p-777747786?boutiqueId=61&merchantId=409995,32.999 TL
,3 cm,,2 Yıl,İthalatçı Garantili,,2001 Watt ve Üzeri,,Jiroskop (SLAM /ESLAM),0-250 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,30 - 60 dk,https://www.trendyol.com//philips/homerun-7000-serisi-aqua-robot-supurge-siyah-65-db-p-777747663?boutiqueId=61&merchantId=409995,32.999 TL
,3 cm,,2 Yıl,İthalatçı Garantili,,1501 - 2000 Watt,,Lazer (LIDAR + SLAM),0-250 L,71 Dba - 80 Dba,,Var,,Var,,,,2,Robot,30 - 60 dk,https://www.trendyol.com//grundig/robot-supurge-beyaz-li-on-p-772858987?boutiqueId=61&merchantId=409995,9.999 TL
,4+ cm,,2 Yıl,İthalatçı Garantili,,2001 Watt ve Üzeri,,Lazer (LIDAR + SLAM),250-500 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//philips/3000-series-aqua-islak-ve-kuru-robot-supurge-beyaz-p-772857813?boutiqueId=61&merchantId=409995,"25.999,99 TL"
,4+ cm,,2 Yıl,İthalatçı Garantili,,2001 Watt ve Üzeri,,Lazer (LIDAR + SLAM),250-500 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//philips/3000-series-aqua-islak-ve-kuru-robot-supurge-beyaz-p-772857157?boutiqueId=61&merchantId=409995,28.599 TL
,4+ cm,,2 Yıl,İthalatçı Garantili,,2001 Watt ve Üzeri,,Lazer (LIDAR + SLAM),250-500 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//philips/3000-series-aqua-islak-ve-kuru-robot-supurge-beyaz-p-772857021?boutiqueId=61&merchantId=409995,29.499 TL
,4+ cm,,2 Yıl,İthalatçı Garantili,,2001 Watt ve Üzeri,,Lazer (LIDAR + SLAM),250-500 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//philips/3000-series-aqua-islak-ve-kuru-robot-supurge-beyaz-p-772856935?boutiqueId=61&merchantId=409995,29.499 TL
,4+ cm,,2 Yıl,İthalatçı Garantili,,2001 Watt ve Üzeri,,Lazer (LIDAR + SLAM),250-500 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//philips/3000-series-aqua-islak-ve-kuru-robot-supurge-beyaz-p-772856437?boutiqueId=61&merchantId=409995,29.499 TL
,4+ cm,,2 Yıl,İthalatçı Garantili,,2401 Watt ve Üzeri,,Lazer (LIDAR + SLAM),0-250 L,51 Dba - 60 Dba,,Var,,Var,,,,3+,Robot,30 - 60 dk,https://www.trendyol.com//philips/3000-serisi-aqua-robot-supurge-beyaz-p-762670928?boutiqueId=61&merchantId=409995,21.999 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,1501 - 2000 Watt,,Yok,250-500 L,71 Dba - 80 Dba,,Yok,,Var,,,,,,,https://www.trendyol.com//grundig/robot-supurge-p-759169044?boutiqueId=61&merchantId=409995,9.499 TL
,2 cm,,2 Yıl,İthalatçı Garantili,,1501 - 2000 Watt,,Jiroskop (SLAM /ESLAM),1000-1500 L,31 Dba - 40 Dba,,Var,,Var,,,,3+,Robot,,https://www.trendyol.com//acekool/robot-elektrikli-supurge-p-767132452?boutiqueId=61&merchantId=262598,9.999 TL
,1 cm,,2 Yıl,İthalatçı Garantili,,1501 - 2000 Watt,,Lazer (LIDAR + SLAM),250-500 L,31 Dba - 40 Dba,,Var,,Var,,,,3+,Toz Torbalı,30 - 60 dk,https://www.trendyol.com//turkan-sanat-evi/arcelik-imperium-robo-3-0-rs-9131-uyumlu-robot-supurge-toz-torbasi-p-785880629?boutiqueId=61&merchantId=885777,190 TL
,2 cm,,2 Yıl,İthalatçı Garantili,,2000 W ve altı,,Lazer (LIDAR + SLAM),0-250 L,51 Dba - 60 Dba,,Yok,,Var,,,,,,60 - 120 dk,https://www.trendyol.com//vactidy/t7-robot-supurge-ve-paspas-kombinasyonu-wifi-uygulama-alexa-siri-kontrolu-p-782345654?boutiqueId=61&merchantId=262598,11.899 TL
,1 cm,,2 Yıl,İthalatçı Garantili,,1501 - 2000 Watt,,Yok,500-1000 L,31 Dba - 40 Dba,,Var,,Yok,,,,3+,,,https://www.trendyol.com//sunsmai/otomatik-su-puskurtmeli-akilli-cam-temizleyici-swlr0001-p-781218387?boutiqueId=61&merchantId=122175,"14.239,80 TL"
,1 cm,,2 Yıl,İthalatçı Garantili,,1501 - 2000 Watt,,Yok,500-1000 L,31 Dba - 40 Dba,,Var,,Yok,,,,3+,,,https://www.trendyol.com//sunsmai/otomatik-su-puskurtmeli-akilli-cam-temizleyici-p-781218350?boutiqueId=61&merchantId=122175,"16.378,70 TL"
,1 cm,,2 Yıl,İthalatçı Garantili,,1501 - 2000 Watt,,Yok,500-1000 L,31 Dba - 40 Dba,,Var,,Yok,,,,3+,,,https://www.trendyol.com//alfabot/x7-akilli-cam-temizleme-robotu-otomatik-su-puskurtmeli-p-780966654?boutiqueId=61&merchantId=122175,"17.960,90 TL"
,1 cm,,2 Yıl,İthalatçı Garantili,,1501 - 2000 Watt,,Yok,500-1000 L,31 Dba - 40 Dba,,Var,,Yok,,,,3+,,,https://www.trendyol.com//alfabot/x8-pencere-temizleme-robotu-cift-su-puskurtmeli-p-780966400?boutiqueId=61&merchantId=122175,"23.527,90 TL"
,1 cm,,2 Yıl,İthalatçı Garantili,,1501 - 2000 Watt,,Yok,500-1000 L,31 Dba - 40 Dba,,Var,,Yok,,,,3+,,,https://www.trendyol.com//alfabot/x6-otomatik-akilli-pencere-temizleme-robotu-p-780966323?boutiqueId=61&merchantId=122175,"12.686,90 TL"
,2 cm,,2 Yıl,,,1001 - 1500 Watt,,Lazer (LIDAR + SLAM),250-500 L,21 Dba - 30 Dba,,Var,,Yok,,,,,,,https://www.trendyol.com//peak-shine/xc8349-01-aqua-plus-kablosuz-sarjli-dik-supurge-80-dakika-kullanim-suresi-islak-ve-kuru-kullanim-p-732423871?boutiqueId=61&merchantId=790096,"18.699,90 TL"
,2 cm,,2 Yıl,,,2401 Watt ve Üzeri,,Lazer (LIDAR + SLAM),250-500 L,61 Dba - 70 Dba,,Var,,Var,,,,,,,https://www.trendyol.com//easytekno/tcl-sweeva-6000m-mop-akilli-robot-supurge-p-731103478?boutiqueId=61&merchantId=428184,10.500 TL
,2 cm,,2 Yıl,,,0 - 250 Watt,,Lazer (LIDAR + SLAM),0-250 L,5 Dba - 10 Dba,,Var,,Var,,,,,,,https://www.trendyol.com//easytekno/vestel-v-bot-pro-robot-supurge-p-731103357?boutiqueId=61&merchantId=357693,13.449 TL
,2 cm,,2 Yıl,,,0 - 250 Watt,,Lazer (LIDAR + SLAM),0-250 L,61 Dba - 70 Dba,,Var,,Var,,,,,,,https://www.trendyol.com//easytekno/viomi-v5-akilli-robot-supurge-p-731103352?boutiqueId=61&merchantId=893858,9.300 TL
,2 cm,,2 Yıl,,,1001 - 1500 Watt,,Lazer (LIDAR + SLAM),250-500 L,21 Dba - 30 Dba,,Var,,Yok,,,,,,,https://www.trendyol.com//peak-shine/et11200-supurgec-e-max-sarjli-dik-supurge-p-727711905?boutiqueId=61&merchantId=265496,5.295 TL
,1 cm,,2 Yıl,,,0 - 250 Watt,,Yok,0-250 L,51 Dba - 60 Dba,,Yok,,Var,,,,,,,https://www.trendyol.com//ssmobil/ezere-premium-cam-pencere-temizleme-robotu-fayans-yuzey-dusakabin-temizleme-robotu-p-706532323?boutiqueId=61&merchantId=114331,"4.999,90 TL"
,3 cm,,6 Yıl,Resmi Distribütör Garantili,,2201 - 2400 Watt,,Kamera (VSLAM + SLAM),1000-1500 L,11 Dba - 20 Dba,,Var,,Var,,,,2,Sulu,120 dk ve üzeri,https://www.trendyol.com//einhell/te-vc-18-li-solo-akulu-supurge-p-464894375?boutiqueId=61&merchantId=147735,2.999 TL
,3 cm,,6 Yıl,Resmi Distribütör Garantili,,2201 - 2400 Watt,,Kamera (VSLAM + SLAM),1000-1500 L,11 Dba - 20 Dba,,Var,,Var,,,,2,Sulu,120 dk ve üzeri,https://www.trendyol.com//blc/hepa-13-filtre-philips-maraton-supurge-ile-uyumlu-p-410841694?boutiqueId=61&merchantId=200498,135 TL
,2 cm,,2 Yıl,İthalatçı Garantili,,2201 - 2400 Watt,,Lazer (LIDAR + SLAM),500-1000 L,31 Dba - 40 Dba,,Var,,Yok,,,,3+,,60 - 120 dk,https://www.trendyol.com//everybot/edge-guclu-otonom-akilli-robot-paspas-p-341319260?boutiqueId=61&merchantId=122175,"16.429,80 TL"
,2 cm,,2 Yıl,İthalatçı Garantili,,1501 - 2200 Watt,,Lazer (LIDAR + SLAM),500-1000 L,51 Dba - 60 Dba,,Var,,Var,,,,3+,,60 - 120 dk,https://www.trendyol.com//everybot/edge-mocha-guclu-otonom-akilli-robot-paspas-p-341293113?boutiqueId=61&merchantId=122175,"16.429,80 TL"
,,,1 Yıl,,,0 - 250 Watt,,,,11 Dba - 20 Dba,,,,,,,,,,,https://www.trendyol.com//ally-mobile/cam-pencere-silme-fayans-yuzey-temizleme-robotu-p-91115830?boutiqueId=61&merchantId=114331,"6.743,66 TL"
,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//ally-mobile/cam-pencere-yuzey-temizleme-robotu-p-89067759?boutiqueId=61&merchantId=150070,"5.791,79 TL"
,2 cm,,2 Yıl,İthalatçı Garantili,,1501 - 2000 Watt,,Lazer (LIDAR + SLAM),500-1000 L,51 Dba - 60 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//dremel/sahin-elk-dreame-robot-vacuum-mop-f9-p-743979991?boutiqueId=61&merchantId=803479,9.999 TL
,1 cm,,2 Yıl,,,0 - 250 Watt,,Yok,0-250 L,5 Dba - 10 Dba,,Yok,,Yok,,,,,,,https://www.trendyol.com//hellove/isme-ozel-etiket-mop-2-lite-xiaomi-robot-supurge-siyah-dekoratif-supurge-stickerr-p-641800386?boutiqueId=61&merchantId=116512,"199,89 TL"
,1 cm,,2 Yıl,,,0 - 250 Watt,,Yok,0-250 L,5 Dba - 10 Dba,,Yok,,Yok,,,,,,,https://www.trendyol.com//hellove/supurge-sticker-mop-2-lite-xiaomi-cicekli-robot-supurge-siyah-dekoratif-supurge-sticker-p-641793505?boutiqueId=61&merchantId=116512,"199,89 TL"
,1 cm,,2 Yıl,,,0 - 250 Watt,,Yok,0-250 L,5 Dba - 10 Dba,,Yok,,Yok,,,,,,,https://www.trendyol.com//hellove/supurge-koruyucu-xiaomi-vacuum-mop-2-lite-beyaz-yuzey-sticker-cizilme-onleyici-etiket-maskeleyici-p-641726139?boutiqueId=61&merchantId=116512,"199,89 TL"
,1 cm,,2 Yıl,,,0 - 250 Watt,,Yok,0-250 L,5 Dba - 10 Dba,,Yok,,Yok,,,,,,,https://www.trendyol.com//hellove/supurge-koruyucu-xiaomi-vacuum-mop-pro-siyah-yuzey-sticker-cizilme-onleyici-etiket-maskeleyici-p-467758630?boutiqueId=61&merchantId=116512,"199,89 TL"
,1 cm,,2 Yıl,,,0 - 250 Watt,,Yok,0-250 L,5 Dba - 10 Dba,,Yok,,Yok,,,,,,,https://www.trendyol.com//hellove/supurge-koruyucu-xiaomi-vacuum-mop-2c-siyah-yuzey-sticker-cizilme-onleyici-etiket-maskeleyici-p-402058801?boutiqueId=61&merchantId=116512,"199,89 TL"
,1 cm,,2 Yıl,,,0 - 250 Watt,,Yok,0-250 L,5 Dba - 10 Dba,,Yok,,Yok,,,,,,,https://www.trendyol.com//hellove/sticker-etiket-cicekli-robot-supurge-etiketi-xiaomi-mi-vacuum-mop-1c-2-in-1-robot-supurge-etiketi-p-376568605?boutiqueId=61&merchantId=116512,"199,89 TL"
,1 cm,,2 Yıl,,,0 - 250 Watt,,Yok,0-250 L,5 Dba - 10 Dba,,Yok,,Yok,,,,,,,https://www.trendyol.com//hellove/cicekli-robot-supurge-etiketi-xiaomi-mi-vacuum-mop-2c-akilli-robot-supurge-ve-paspas-dekoratif-stick-p-376452044?boutiqueId=61&merchantId=116512,"199,89 TL"
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,1501 - 2000 Watt,,Lazer (LIDAR + SLAM),250-500 L,31 Dba - 40 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//beko/rs-8121-robot-supurge-p-678310347?boutiqueId=61&merchantId=697481,16.999 TL
,1 cm,,1 Yıl,İthalatçı Garantili,,0 - 250 Watt,,Yok,0-250 L,51 Dba - 60 Dba,,Yok,,Yok,,,,,Robot,0 - 30 dk,https://www.trendyol.com//pensil/penbot-a-cam-ve-fayans-temizleme-robotu-p-49757513?boutiqueId=61&merchantId=128057,6.749 TL
,3 cm,,6 Yıl,Resmi Distribütör Garantili,,2201 - 2400 Watt,,Kamera (VSLAM + SLAM),1000-1500 L,11 Dba - 20 Dba,,Var,,Var,,,,2,Sulu,120 dk ve üzeri,https://www.trendyol.com//sinbo/svc-8603-elektrikli-supurge-siyah-p-373924259?boutiqueId=61&merchantId=116188,"2.158,92 TL"
,1 cm,,6 Yıl,İthalatçı Garantili,,1501 - 2000 Watt,,Yok,0-250 L,31 Dba - 40 Dba,,Yok,,Yok,,,,1,Robot,30 - 60 dk,https://www.trendyol.com//viomi/adaptor-v5pro-p-730672318?boutiqueId=61&merchantId=817652,874 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),250-500 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//viomi/pro-robot-supurge-beyaz-1-yil-ek-garanti-hediye-p-650123328?boutiqueId=61&merchantId=197550,16.599 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,500-1500 Watt,,Lazer (LIDAR + SLAM),250-500 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//viomi/pro-robot-supurge-beyaz-1-yil-ek-garanti-hediye-p-650123294?boutiqueId=61&merchantId=197550,16.599 TL
,3 cm,,2 Yıl,İthalatçı Garantili,,2001 Watt ve Üzeri,,Jiroskop (SLAM /ESLAM),0-250 L,51 Dba - 60 Dba,,Var,,Var,,,,3+,Robot,30 - 60 dk,https://www.trendyol.com//philips/homerun-3000-serisi-aqua-robot-supurge-beyaz-p-778026497?boutiqueId=61&merchantId=409995,21.999 TL
,3 cm,,2 Yıl,İthalatçı Garantili,,2001 Watt ve Üzeri,,Jiroskop (SLAM /ESLAM),0-250 L,51 Dba - 60 Dba,,Var,,Var,,,,3+,Robot,30 - 60 dk,https://www.trendyol.com//philips/homerun-3000-serisi-aqua-robot-supurge-siyah-4000-watt-p-778022727?boutiqueId=61&merchantId=409995,19.999 TL
,3 cm,,2 Yıl,İthalatçı Garantili,,2001 Watt ve Üzeri,,Jiroskop (SLAM /ESLAM),0-250 L,51 Dba - 60 Dba,,Var,,Var,,,,3+,Robot,30 - 60 dk,https://www.trendyol.com//philips/homerun-3000-serisi-aqua-robot-supurge-siyah-4000-watt-p-778022078?boutiqueId=61&merchantId=409995,21.999 TL
,3 cm,,2 Yıl,İthalatçı Garantili,,2001 Watt ve Üzeri,,Jiroskop (SLAM /ESLAM),0-250 L,51 Dba - 60 Dba,,Var,,Var,,,,3+,Robot,30 - 60 dk,https://www.trendyol.com//philips/homerun-3000-serisi-aqua-robot-supurge-siyah-p-778021767?boutiqueId=61&merchantId=409995,21.999 TL
,3 cm,,2 Yıl,İthalatçı Garantili,,2001 Watt ve Üzeri,,Jiroskop (SLAM /ESLAM),0-250 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,30 - 60 dk,https://www.trendyol.com//philips/homerun-7000-serisi-aqua-robot-supurge-siyah-65-db-p-777748088?boutiqueId=61&merchantId=409995,32.999 TL
,3 cm,,2 Yıl,İthalatçı Garantili,,2001 Watt ve Üzeri,,Jiroskop (SLAM /ESLAM),0-250 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,30 - 60 dk,https://www.trendyol.com//philips/homerun-7000-serisi-aqua-robot-supurge-siyah-65-db-p-777747821?boutiqueId=61&merchantId=409995,32.999 TL
,4+ cm,,2 Yıl,İthalatçı Garantili,,2001 Watt ve Üzeri,,Lazer (LIDAR + SLAM),250-500 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//philips/3000-series-aqua-islak-ve-kuru-robot-supurge-beyaz-p-772857832?boutiqueId=61&merchantId=409995,"27.999,99 TL"
,4+ cm,,2 Yıl,İthalatçı Garantili,,2001 Watt ve Üzeri,,Lazer (LIDAR + SLAM),250-500 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//philips/3000-series-aqua-islak-ve-kuru-robot-supurge-beyaz-p-772857169?boutiqueId=61&merchantId=409995,"29.499,99 TL"
,3 cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Yok,0-250 L,51 Dba - 60 Dba,,Yok,,Yok,,,,2,Robot,30 - 60 dk,https://www.trendyol.com//robotta/irobot-roomba-606-robot-irobot-romba-606-robot-supurge-p-104875130?boutiqueId=61&merchantId=426015,"12.543,90 TL"
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),250-500 L,51 Dba - 60 Dba,,Var,,Var,,,,3+,Sulu,120 dk ve üzeri,https://www.trendyol.com//xiomi/mi-robot-vacuum-mop-2-pro-robot-supurge-ve-paspas-beyaz-p-765879367?boutiqueId=61&merchantId=689339,11.399 TL
,3 cm,,2 Yıl,İthalatçı Garantili,,2001 Watt ve Üzeri,,Jiroskop (SLAM /ESLAM),0-250 L,51 Dba - 60 Dba,,Var,,Var,,,,3+,Robot,30 - 60 dk,https://www.trendyol.com//philips/homerun-3000-serisi-aqua-robot-supurge-siyah-4000-watt-p-778021577?boutiqueId=61&merchantId=409995,21.999 TL
,4+ cm,,2 Yıl,İthalatçı Garantili,,2001 Watt ve Üzeri,,Lazer (LIDAR + SLAM),250-500 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//philips/3000-series-aqua-islak-ve-kuru-robot-supurge-beyaz-p-772857108?boutiqueId=61&merchantId=409995,29.599 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),250-500 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//philips/evrekala-shop-islak-kuru-robot-supurge-philips-lazer-230-dk-yetkili-satici-evrekala-p-763415721?boutiqueId=61&merchantId=495689,"23.224,90 TL"
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,1501 - 2000 Watt,,Lazer (LIDAR + SLAM),250-500 L,71 Dba - 80 Dba,,Var,,Var,,,,,,,https://www.trendyol.com//philips/islak-kuru-moplu-istasyonlu-robot-supurge-4000-pa-sert-zemin-ve-haliya-uygun-p-759222072?boutiqueId=61&merchantId=455417,"27.844,11 TL"
,3 cm,,1 Yıl,İthalatçı Garantili,,0 - 250 Watt,,Yok,0-250 L,31 Dba - 40 Dba,,Yok,,Var,,,,,Robot,,https://www.trendyol.com//teknoexpress/smart-w302-vacuum-okul-ofis-ev-cam-pencere-temizleme-robotu-cam-silme-fayans-yuzey-temizleme-robotu-p-299490574?boutiqueId=61&merchantId=678867,5.952 TL
,4+ cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),250-500 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//ilife/v8s-akilli-supurge-p-52915305?boutiqueId=61&merchantId=190712,"7.111,41 TL"
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),250-500 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//philips/lazer-tarayici-150-m2-temizilik-homerun-3000-serisi-islak-kuru-robot-supurge-beyaz-p-781218651?boutiqueId=61&merchantId=881452,21.799 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),250-500 L,61 Dba - 70 Dba,,Var,,Var,,,,,,,https://www.trendyol.com//philips/homerun-3000-serisi-islak-kuru-lazer-haritalandirma-yuksek-emis-gucu-robot-supurge-beyaz-p-781218609?boutiqueId=61&merchantId=881452,21.799 TL
,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//lydsto/s1-uv-ve-ozon-sterilizasyonlu-akilli-robot-supurge-ve-paspas-siyah-turkiye-garantili-p-279899077?boutiqueId=61&merchantId=217399,16.999 TL
,1 cm,,2 Yıl,,,499-250 Watt,,Yok,0-250 L,71 Dba - 80 Dba,,Var,,Yok,,,,,,,https://www.trendyol.com//hiking/yeni-nesil-hiking-hpl-12-robot-supurge-hiking-turkiye-p-758034836?boutiqueId=61&merchantId=376856,9.399 TL
,2 cm,,2 Yıl,İthalatçı Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),500-1000 L,41 Dba - 50 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//alya/g-robot-supurge-al163-kathya-white-p-186877280?boutiqueId=61&merchantId=433925,5.709 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),500-1000 L,41 Dba - 50 Dba,,Var,,Var,,,,3+,Robot,60 - 120 dk,https://www.trendyol.com//hobot/legee-7-supurge-paspas-4-u-1-arada-p-178748584?boutiqueId=61&merchantId=167560,"14.999,99 TL"
,3 cm,,2 Yıl,İthalatçı Garantili,,2401 Watt ve Üzeri,,Jiroskop (SLAM /ESLAM),0-250 L,61 Dba - 70 Dba,,Var,,Var,,,,2,Robot,30 - 60 dk,https://www.trendyol.com//philips/homerun-7000-serisi-aqua-robot-supurge-beyaz-5000-watt-p-777742994?boutiqueId=61&merchantId=409995,34.999 TL
,4+ cm,,2 Yıl,İthalatçı Garantili,,2001 Watt ve Üzeri,,Lazer (LIDAR + SLAM),250-500 L,51 Dba - 60 Dba,,Var,,Var,,,,3+,Robot,60 - 120 dk,https://www.trendyol.com//philips/3000-series-aqua-islak-kuru-ozellikli-ozel-seri-robot-supurge-beyaz-p-762372992?boutiqueId=61&merchantId=409995,21.999 TL
,3 cm,,2 Yıl,İthalatçı Garantili,,2001 Watt ve Üzeri,,Jiroskop (SLAM /ESLAM),0-250 L,51 Dba - 60 Dba,,Var,,Var,,,,3+,Robot,30 - 60 dk,https://www.trendyol.com//philips/homerun-3000-serisi-aqua-robot-supurge-beyaz-p-778030842?boutiqueId=61&merchantId=409995,21.999 TL
,3 cm,,2 Yıl,İthalatçı Garantili,,2001 Watt ve Üzeri,,Jiroskop (SLAM /ESLAM),0-250 L,51 Dba - 60 Dba,,Var,,Var,,,,3+,Robot,30 - 60 dk,https://www.trendyol.com//philips/homerun-3000-serisi-aqua-robot-supurge-siyah-4000-watt-p-778022743?boutiqueId=61&merchantId=409995,"19.999,99 TL"
,3 cm,,2 Yıl,İthalatçı Garantili,,2001 Watt ve Üzeri,,Jiroskop (SLAM /ESLAM),0-250 L,51 Dba - 60 Dba,,Var,,Var,,,,3+,Robot,30 - 60 dk,https://www.trendyol.com//philips/homerun-3000-serisi-aqua-robot-supurge-siyah-4000-watt-p-778022651?boutiqueId=61&merchantId=409995,21.999 TL
,3 cm,,2 Yıl,İthalatçı Garantili,,2001 Watt ve Üzeri,,Jiroskop (SLAM /ESLAM),0-250 L,51 Dba - 60 Dba,,Var,,Var,,,,3+,Robot,30 - 60 dk,https://www.trendyol.com//philips/homerun-3000-serisi-aqua-robot-supurge-siyah-p-778021818?boutiqueId=61&merchantId=409995,21.999 TL
,3 cm,,2 Yıl,İthalatçı Garantili,,2001 Watt ve Üzeri,,Jiroskop (SLAM /ESLAM),0-250 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,30 - 60 dk,https://www.trendyol.com//philips/homerun-7000-serisi-aqua-robot-supurge-siyah-65-db-p-777748310?boutiqueId=61&merchantId=409995,32.999 TL
,3 cm,,2 Yıl,İthalatçı Garantili,,2401 Watt ve Üzeri,,Jiroskop (SLAM /ESLAM),0-250 L,61 Dba - 70 Dba,,Var,,Var,,,,2,Robot,30 - 60 dk,https://www.trendyol.com//philips/homerun-7000-serisi-aqua-robot-supurge-beyaz-p-777743661?boutiqueId=61&merchantId=409995,34.999 TL
,3 cm,,2 Yıl,İthalatçı Garantili,,2401 Watt ve Üzeri,,Jiroskop (SLAM /ESLAM),0-250 L,61 Dba - 70 Dba,,Var,,Var,,,,2,Robot,30 - 60 dk,https://www.trendyol.com//philips/homerun-7000-serisi-aqua-robot-supurge-beyaz-p-777743539?boutiqueId=61&merchantId=409995,34.999 TL
