AÅŸÄ±labilir Engel Seviyesi,Aşılabilir Engel Seviyesi,Garanti SÃ¼resi,Garanti Süresi,Garanti Tipi,GÃ¼Ã§ (Watt),Güç (Watt),HaritalandÄ±rma,Haritalandırma,Hazne Kapasitesi,Ses Seviyesi,Uygulama Ãœzerinden Kontrol,Uygulama Üzerinden Kontrol,Yer Silme Ã–zelliÄŸi,Yer Silme Özelliği,Ã–zellik,Ã‡alÄ±ÅŸma Modu SayÄ±sÄ±,ÅžarjlÄ± KullanÄ±m SÃ¼resi,Çalışma Modu Sayısı,Özellik,Şarjlı Kullanım Süresi,url,price
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,2401 Watt ve Üzeri,,Lazer (LIDAR + SLAM),0-250 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,60 - 120 dk,https://www.trendyol.com//tefal/rg8577-x-plorer-serie-75-s-mop-ozellikli-akilli-robot-supurge-beyaz-p-654266299?boutiqueId=61&merchantId=661093,10.425 TL
,4+ cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),250-500 L,41 Dba - 50 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//dreame/bot-l10s-pro-robot-supurge-p-639417973?boutiqueId=61&merchantId=593584,12.899 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,1501 - 2000 Watt,,Lazer (LIDAR + SLAM),250-500 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//philips/3000-serisi-islak-kuru-moplu-siyah-istasyonlu-robot-supurge-4000-pa-sert-zemin-ve-haliya-uygun-p-704500817?boutiqueId=61&merchantId=521664,16.999 TL
,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//xiaomi/mi-robot-vacuum-mop-pro-cleaner-robot-supurge-ve-paspas-beyaz-p-36502435?boutiqueId=61&merchantId=601117,13.999 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,1501 - 2000 Watt,,Lazer (LIDAR + SLAM),250-500 L,51 Dba - 60 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//yui/s7-plus-akilli-cop-istasyonlu-robot-vacuum-mop-supurge-beyaz-yui-turkiye-garantili-p-645340208?boutiqueId=620489&merchantId=968,11.799 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,1501 - 2000 Watt,,Lazer (LIDAR + SLAM),250-500 L,31 Dba - 40 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//philips/3000-serisi-islak-kuru-moplu-beyaz-robot-supurge-4000-pa-sert-zemin-ve-haliya-uygun-p-708129872?boutiqueId=61&merchantId=801610,18.885 TL
,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//roborock/vacuum-cleanner-q8-max-robot-supurge-siyah-p-775739895?boutiqueId=620489&merchantId=968,16.519 TL
,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//wiami/fx-10-robot-supurge-siyah-p-276974486?boutiqueId=61&merchantId=113711,7.377 TL
,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//viomi/v3-vacuum-cleaner-lazer-sensor-robot-supurge-ve-paspas-p-44336052?boutiqueId=620489&merchantId=968,8.379 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),0-250 L,81 Dba - 90 Dba,,Var,,Yok,,,,,,,https://www.trendyol.com//xiaomi/x10-robot-supurge-beyaz-p-777860388?boutiqueId=61&merchantId=107870,27.799 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,2001 Watt ve Üzeri,,Lazer (LIDAR + SLAM),250-500 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//fakir/robert-rs-780-titresim-moplu-akilli-robot-supurge-p-640310008?boutiqueId=61&merchantId=449692,13.997 TL
,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//karcher/rcv-5-robot-supurge-12696400-p-635146755?boutiqueId=61&merchantId=115591,16.079 TL
,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//roborock/s7-pro-ultra-beyaz-cop-istasyonlu-yikamali-akilli-robot-supurge-p-364212664?boutiqueId=61&merchantId=601117,55.999 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,1501 - 2000 Watt,,Lazer (LIDAR + SLAM),250-500 L,51 Dba - 60 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//yui/s7-nomopzone-ozellikli-akilli-robot-vacuum-mop-supurge-beyaz-yui-turkiye-garantili-p-645274112?boutiqueId=620489&merchantId=968,8.399 TL
2 cm,,2 YÄ±l,,Ä°thalatÃ§Ä± Garantili,0 - 250 Watt,,Kamera (VSLAM + SLAM),,500-1000 L,61 Dba - 70 Dba,Var,,Var,,Robot,3+,120 dk ve Ã¼zeri,,,,https://www.trendyol.com//xiaomi/dreametech-f9-robot-supurge-ve-paspas-mi-home-kontrollu-2022-yeni-model-p-239459560?boutiqueId=61&merchantId=106895,8.299 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,500-1500 Watt,,Lazer (LIDAR + SLAM),250-500 L,51 Dba - 60 Dba,,Var,,Var,,,,3+,Robot,60 - 120 dk,https://www.trendyol.com//robx/r7-uv-sterilizasyon-akili-cop-bosaltma-uniteli-vacuum-mop-robot-supurge-turkiye-garantili-p-127495637?boutiqueId=61&merchantId=108009,13.795 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,2001 Watt ve Üzeri,,Lazer (LIDAR + SLAM),250-500 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//arcelik/imperium-robo-rs-9131-robot-supurge-p-350508716?boutiqueId=61&merchantId=329523,14.849 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Jiroskop (SLAM /ESLAM),250-500 L,51 Dba - 60 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//grundig/vcr-4230-robot-supurge-p-669055615?boutiqueId=61&merchantId=112879,5.590 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,2001 Watt ve Üzeri,,Lazer (LIDAR + SLAM),250-500 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//philips/7000-islak-kuru-robot-supurge-5000-pa-titresimli-mop-sert-zemin-ve-haliya-uygun-xu7000-01-p-683847607?boutiqueId=61&merchantId=335992,19.195 TL
,3 cm,,2 Yıl,Resmi Distribütör Garantili,,1001 - 1500 Watt,,Jiroskop (SLAM /ESLAM),250-500 L,11 Dba - 20 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//viomi/v5-pro-vakum-cleaner-akilli-robot-supurge-p-216683161?boutiqueId=61&merchantId=472332,8.880 TL
,3 cm,,2 Yıl,Resmi Distribütör Garantili,,499-250 Watt,,Lazer (LIDAR + SLAM),0-250 L,51 Dba - 60 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//tefal/rg9075-x-plorer-serie-130-ai-evcil-hayvan-dostu-akilli-robot-supurge-p-669631875?boutiqueId=61&merchantId=567695,13.999 TL
