Asilabilir_Engel_Seviyesi,Haritalandirma,Hazne_Kapasitesi,Uygulama_Uzerinden_Kontrol,Yer_Silme_Ozelligi,Calisma_Modu_Sayisi,Ozellik,Sarjli_Kullanim_Suresi,url,price
2 ,Lazer ,250-500,Var,Var,3,Robot,120,https://www.trendyol.com//philips/3000-serisi-islak-kuru-moplu-beyaz-robot-supurge-4000-pa-sert-zemin-ve-haliya-uygun-p-708129872?boutiqueId=61&merchantId=801610,18885.0
2,Lazer,250-500,Var,Var,3,Robot,120,https://www.trendyol.com//roborock/vacuum-cleanner-q8-max-robot-supurge-siyah-p-775739895?boutiqueId=620489&merchantId=968,16519.0
2,Lazer,250-500,Var,Var,3,Robot,120,https://www.trendyol.com//wiami/fx-10-robot-supurge-siyah-p-276974486?boutiqueId=61&merchantId=113711,7377.0
2,Lazer,250-500,Var,Var,3,Robot,120,https://www.trendyol.com//viomi/v3-vacuum-cleaner-lazer-sensor-robot-supurge-ve-paspas-p-44336052?boutiqueId=620489&merchantId=968,8379.0
2 ,Lazer ,0-250,Var,Yok,3,Robot,120,https://www.trendyol.com//xiaomi/x10-robot-supurge-beyaz-p-777860388?boutiqueId=61&merchantId=107870,27799.0
2 ,Lazer ,250-500,Var,Var,3,Robot,120,https://www.trendyol.com//fakir/robert-rs-780-titresim-moplu-akilli-robot-supurge-p-640310008?boutiqueId=61&merchantId=449692,13997.0
2,Lazer,250-500,Var,Var,3,Robot,120,https://www.trendyol.com//karcher/rcv-5-robot-supurge-12696400-p-635146755?boutiqueId=61&merchantId=115591,16079.0
2,Lazer,250-500,Var,Var,3,Robot,120,https://www.trendyol.com//roborock/s7-pro-ultra-beyaz-cop-istasyonlu-yikamali-akilli-robot-supurge-p-364212664?boutiqueId=61&merchantId=601117,55999.0
2 ,Lazer ,250-500,Var,Var,3,Robot,120,https://www.trendyol.com//yui/s7-nomopzone-ozellikli-akilli-robot-vacuum-mop-supurge-beyaz-yui-turkiye-garantili-p-645274112?boutiqueId=620489&merchantId=968,8399.0
2,Lazer,500-1000,Var,Var,3,Robot,120,https://www.trendyol.com//xiaomi/dreametech-f9-robot-supurge-ve-paspas-mi-home-kontrollu-2022-yeni-model-p-239459560?boutiqueId=61&merchantId=106895,8299.0
2 ,Lazer ,250-500,Var,Var,3,Robot,60 - 120,https://www.trendyol.com//robx/r7-uv-sterilizasyon-akili-cop-bosaltma-uniteli-vacuum-mop-robot-supurge-turkiye-garantili-p-127495637?boutiqueId=61&merchantId=108009,13795.0
2 ,Lazer ,250-500,Var,Var,3,Robot,120,https://www.trendyol.com//arcelik/imperium-robo-rs-9131-robot-supurge-p-350508716?boutiqueId=61&merchantId=329523,14849.0
2 ,Jiroskop ,250-500,Var,Var,3,Robot,120,https://www.trendyol.com//grundig/vcr-4230-robot-supurge-p-669055615?boutiqueId=61&merchantId=112879,5590.0
2 ,Lazer ,250-500,Var,Var,3,Robot,120,https://www.trendyol.com//philips/7000-islak-kuru-robot-supurge-5000-pa-titresimli-mop-sert-zemin-ve-haliya-uygun-xu7000-01-p-683847607?boutiqueId=61&merchantId=335992,19195.0
3 ,Jiroskop ,250-500,Var,Var,3,Robot,120,https://www.trendyol.com//viomi/v5-pro-vakum-cleaner-akilli-robot-supurge-p-216683161?boutiqueId=61&merchantId=472332,8880.0
3 ,Lazer ,0-250,Var,Var,3,Robot,120,https://www.trendyol.com//tefal/rg9075-x-plorer-serie-130-ai-evcil-hayvan-dostu-akilli-robot-supurge-p-669631875?boutiqueId=61&merchantId=567695,13999.0
2,Lazer,250-500,Var,Var,3,Robot,120,https://www.trendyol.com//dreame/vacuum-mop-f9-robot-supurge-dreame-turkiye-garantili-p-49107522?boutiqueId=61&merchantId=106895,7999.0
2 ,Lazer ,250-500,Var,Var,3,Robot,120,https://www.trendyol.com//tcl/sweeva-6000m-moplu-siyah-akilli-robot-supurge-resmi-distributor-garantili-p-462214483?boutiqueId=61&merchantId=120477,7447.0
1 ,Yok,1500+,Var,Yok,1,Toz Torbasız,0 - 30,https://www.trendyol.com//roborock/s7-robot-supurge-otomatik-cop-bosaltma-p-463872421?boutiqueId=620489&merchantId=968,5499.0
2 ,Lazer ,1500+,Var,Var,3,Robot,120,https://www.trendyol.com//icotech/f10-max-plus-ai-10000-pa-yapay-zekali-titresimli-mop-toz-istasyonlu-akilli-robot-supurge-p-755950537?boutiqueId=61&merchantId=851340,22999.0
2 ,Lazer ,250-500,Var,Var,3,Robot,60 - 120,https://www.trendyol.com//viomi/viomi-v5-pro-akilli-robot-supurge-p-230975878?boutiqueId=61&merchantId=314538,8885.0
2,Lazer,250-500,Var,Var,3,Robot,120,https://www.trendyol.com//xiaomi/mi-robot-vacuum-mop-2-lite-p-262612534?boutiqueId=61&merchantId=860637,8400.0
2 ,Lazer ,250-500,Var,Var,3,Robot,120,https://www.trendyol.com//roborock/s6-maxv-ai-dual-cam-2-in-1-robot-supurge-p-47584524?boutiqueId=61&merchantId=514600,29999.0
2,Lazer,250-500,Var,Var,3,Robot,120,https://www.trendyol.com//ecovacs/deebot-t9-beyaz-renk-akilli-robot-supurge-ve-paspas-turkiye-garantili-p-248192965?boutiqueId=61&merchantId=472332,12199.0
3 ,Jiroskop ,250-500,Var,Var,3,Robot,120,https://www.trendyol.com//dreame/mop-d9-robot-supurge-p-70200966?boutiqueId=61&merchantId=726621,9839.0
2,Lazer,250-500,Var,Var,3,Robot,120,https://www.trendyol.com//tcl/sweeva-6500-siyah-robot-supurge-turkiye-garantili-p-304298697?boutiqueId=61&merchantId=147861,9999.0
4+ ,Lazer ,250-500,Var,Var,3,Robot,120,https://www.trendyol.com//roborock/s8-6000-pa-emis-guclu-titresimli-paspaslama-ile-robot-vakum-xiaomi-tr-garantilidir-p-785753233?boutiqueId=61&merchantId=186468,21999.0
2 ,Lazer ,500-1000,Var,Var,3,Robot,120,https://www.trendyol.com//sunny/hero-extra-robot-supurge-beyaz-p-656029208?boutiqueId=61&merchantId=533472,5919.0
2,Lazer,250-500,Var,Var,3,Robot,120,https://www.trendyol.com//xiaomi/mi-robot-vacuum-mop-2-pro-beyaz-p-645935276?boutiqueId=61&merchantId=566427,9799.0
2,Lazer,250-500,Var,Var,3,Robot,120,https://www.trendyol.com//viomi/v2-pro-akilli-robot-supurge-p-40276228?boutiqueId=620489&merchantId=968,76794.0
2 ,Yok,0-250,Yok,Var,1,Robot,30 - 60,https://www.trendyol.com//home/mini-akilli-robot-supurge-p-758741529?boutiqueId=61&merchantId=848576,2099.0
